name,parent,value,rate
Coin,,,
WAVES,Coin,363310376618,0.05
ONG,Coin,319254741284,0.26
SBD,Coin,241789600747,-0.09
POWR,Coin,166695067882,0.1
MTL,Coin,161510609503,0.1
BTC,Coin,135678351296,0.04
STEEM,Coin,110746425287,-0.06
SOL,Coin,105559470818,0.13
XRP,Coin,99646287807,0.02
GAS,Coin,98007441224,0.03
XEC,Coin,80478939526,0.15
ETH,Coin,76436993436,0.04
ADA,Coin,73603764263,0.09
STRAX,Coin,68566161636,0.02
ONT,Coin,66803302696,0.07
AXS,Coin,65384877588,0.07
WEMIX,Coin,59187232371,0.01
NEO,Coin,57406978417,0.11
NU,Coin,49561596867,-0.07
LSK,Coin,44838883398,0.03
ELF,Coin,43409184577,0.01
SAND,Coin,40800311101,0.05
STPT,Coin,40719854582,-0.04
GMT,Coin,37757061215,0.08
PUNDIX,Coin,36315420001,0.05
